time (s), axial_temperature (degree celsius), surface_temperature (degree celsius)
100.0000,5.9900,61.4400
101.0000,6.2200,61.4800
102.0000,6.4200,61.3400
103.0000,6.6200,61.1400
104.0000,6.8500,61.0400
105.0000,7.1200,61.0400
106.0000,7.3100,61.0100
107.0000,7.5500,61.4100
108.0000,7.7800,62.1100
109.0000,8.0100,62.0700
110.0000,8.2400,61.4400
111.0000,8.4400,61.3100
112.0000,8.6700,61.5100
113.0000,8.9000,61.6100
114.0000,9.1300,61.7100
115.0000,9.3600,61.6700
116.0000,9.5900,61.6100
117.0000,9.7900,61.4400
118.0000,10.3900,62.2400
119.0000,10.2200,61.4800
120.0000,10.4900,61.6700
121.0000,10.6500,61.8100
122.0000,11.0500,62.2400
123.0000,11.2800,62.1100
124.0000,11.5100,61.9100
125.0000,11.7400,61.9100
126.0000,12.0100,61.7700
127.0000,12.2400,61.4400
128.0000,12.4700,61.1400
129.0000,12.7000,61.0800
130.0000,12.9300,61.3400
131.0000,13.1300,61.6700
132.0000,13.3600,62.2000
133.0000,13.5900,62.4000
134.0000,13.8600,62.4000
135.0000,14.0900,62.2000
136.0000,14.3200,61.8700
137.0000,14.5500,61.4800
138.0000,14.7800,61.3800
139.0000,15.0100,61.5400
140.0000,15.2400,61.7700
141.0000,15.4700,61.9700
142.0000,15.7400,62.0400
143.0000,15.9400,62.0400
144.0000,16.1700,62.0100
145.0000,16.4000,61.8700
146.0000,16.6600,61.8400
147.0000,16.8600,61.7100
148.0000,17.0900,61.5800
149.0000,17.3300,61.3400
150.0000,17.5200,61.3800
151.0000,17.8200,61.5100
152.0000,18.0200,61.4400
153.0000,18.2500,61.2800
154.0000,18.4800,61.0400
155.0000,18.7100,60.9500
156.0000,18.9400,61.0100
157.0000,19.1800,61.1800
158.0000,19.3700,61.1800
159.0000,19.6000,61.3100
160.0000,19.8000,61.3400
161.0000,20.0700,61.4400
162.0000,20.2700,61.4800
163.0000,20.5000,61.4100
164.0000,20.7300,61.5100
165.0000,20.9300,61.5400
166.0000,21.1600,61.5100
167.0000,21.3900,61.5400
168.0000,21.5500,61.6400
169.0000,21.7900,61.7100
170.0000,21.9800,61.6100
171.0000,22.2200,61.5800
172.0000,22.4100,61.6100
173.0000,22.6400,61.5800
174.0000,22.8800,61.4800
175.0000,23.0700,61.2100
176.0000,23.3100,61.3100
177.0000,23.5000,61.5100
178.0000,23.7400,61.6100
179.0000,23.9300,61.4800
180.0000,24.1300,61.3400
181.0000,24.3300,61.3400
182.0000,24.5600,61.3400
183.0000,24.7600,61.2800
184.0000,24.9600,61.4800
185.0000,25.1900,61.6700
186.0000,25.3900,61.6700
187.0000,25.5500,61.6100
188.0000,25.7500,61.5800
189.0000,25.9500,61.5400
190.0000,26.1500,61.6700
191.0000,26.3500,61.5100
192.0000,26.5100,61.2100
193.0000,26.7100,60.8800
194.0000,26.9400,60.8500
195.0000,27.1400,60.9800
196.0000,27.3400,61.0400
197.0000,27.5300,61.0800
198.0000,27.7000,61.1100
199.0000,27.9000,61.2400
200.0000,28.1000,61.2400
201.0000,28.2600,61.1800
202.0000,28.4600,61.3400
203.0000,28.6600,61.5100
204.0000,28.8200,61.4400
205.0000,29.0200,61.2400
206.0000,29.2200,61.0400
207.0000,29.3800,61.0100
208.0000,29.5500,61.1100
209.0000,29.7200,61.3100
210.0000,29.8800,61.4400
211.0000,30.0500,61.5400
212.0000,30.2400,61.4800
213.0000,30.4100,61.2100
214.0000,30.5700,61.3100
215.0000,30.7400,61.6100
216.0000,30.9000,61.6700
217.0000,31.1000,61.4800
218.0000,31.2700,61.3100
219.0000,31.4300,61.3100
220.0000,31.6300,61.2400
221.0000,31.8000,61.3100
222.0000,31.9300,61.3800
223.0000,32.0900,61.4100
224.0000,32.2600,61.5100
225.0000,32.4600,61.7700
226.0000,32.6200,61.7700
227.0000,32.7500,61.7100
228.0000,32.9200,61.5400
229.0000,33.0900,61.7100
230.0000,33.2500,61.8400
231.0000,33.3800,61.7700
232.0000,33.5500,61.7100
233.0000,33.7100,61.7100
234.0000,33.8800,61.7700
235.0000,34.0400,61.8400
236.0000,34.1800,61.7700
237.0000,34.3100,61.5400
238.0000,34.4700,61.3100
239.0000,34.6100,61.1800
240.0000,34.7400,61.0400
241.0000,34.8700,60.9800
242.0000,35.0700,61.0800
243.0000,35.2300,61.2100
244.0000,35.3700,61.2800
245.0000,35.5300,61.1400
246.0000,35.6600,61.0100
247.0000,35.8300,60.9800
248.0000,35.9600,61.0100
249.0000,36.1300,61.0400
250.0000,36.2600,61.0400
251.0000,36.3900,60.9800
252.0000,36.5500,60.8100
253.0000,36.6900,60.7800
254.0000,36.8200,60.7500
255.0000,36.9500,60.7500
256.0000,37.0800,60.8100
257.0000,37.2500,61.0100
258.0000,37.3800,61.2100
259.0000,37.5100,61.3400
260.0000,37.6800,61.3400
261.0000,37.8100,61.3400
262.0000,37.9400,61.2800
263.0000,38.0700,61.1100
264.0000,38.1700,60.8500
265.0000,38.3100,60.7500
266.0000,38.4400,60.8100
267.0000,38.5400,60.7800
268.0000,38.6700,60.7500
269.0000,38.7700,60.8100
270.0000,38.9000,60.8500
271.0000,39.0300,60.8500
272.0000,39.1600,60.8800
273.0000,39.2600,60.9100
274.0000,39.4000,60.9100
275.0000,39.5300,60.9100
276.0000,39.6300,60.9500
277.0000,39.7600,61.0100
278.0000,39.8900,61.0800
279.0000,39.9900,61.1100
280.0000,40.1200,61.0800
281.0000,40.2200,61.0400
282.0000,40.3500,61.0100
283.0000,40.4500,60.9100
284.0000,40.5900,60.8800
285.0000,40.6800,60.9500
286.0000,40.7800,60.9800
287.0000,40.9200,60.9100
288.0000,41.0200,60.9500
289.0000,41.1100,61.1400
290.0000,41.2500,61.2800
291.0000,41.3500,61.1800
292.0000,41.4400,60.9800
293.0000,41.5800,61.0400
294.0000,41.6800,61.1400
295.0000,41.7700,61.1100
296.0000,41.9100,61.0100
297.0000,42.0100,60.9100
298.0000,42.1100,61.1400
299.0000,42.2000,61.2100
300.0000,42.3000,61.0800
301.0000,42.4000,61.0400
302.0000,42.5000,60.9500
303.0000,42.5700,60.8800
304.0000,42.6300,60.7800
305.0000,42.7700,60.8100
306.0000,42.9000,60.9100
307.0000,42.9600,60.8100
308.0000,43.0600,60.7800
309.0000,43.1600,60.6800
310.0000,43.2600,60.4800
311.0000,43.3600,60.4200
312.0000,43.4300,60.3200
313.0000,43.5600,60.5100
314.0000,43.6900,60.6800
315.0000,43.7900,60.5500
316.0000,43.8900,60.6500
317.0000,43.9900,60.8800
318.0000,44.0900,60.9500
319.0000,44.1500,60.7500
320.0000,44.2500,60.5800
321.0000,44.3200,60.5800
322.0000,44.4500,60.5100
323.0000,44.5500,60.6800
324.0000,44.6200,60.8500
325.0000,44.7200,60.9500
326.0000,44.8100,60.9100
327.0000,44.8800,60.8100
328.0000,44.9800,60.6500
329.0000,45.0800,60.5500
330.0000,45.1500,60.4500
331.0000,45.2400,60.5500
332.0000,45.3400,60.6500
333.0000,45.4100,60.7500
334.0000,45.5100,60.7500
335.0000,45.6100,60.7500
336.0000,45.6700,60.7100
337.0000,45.7700,60.7500
338.0000,45.8400,60.7500
339.0000,45.9400,60.6100
340.0000,46.0400,60.5100
341.0000,46.1000,60.4800
342.0000,46.2000,60.4500
343.0000,46.3000,60.4800
344.0000,46.3700,60.4800
345.0000,46.4700,60.4200
346.0000,46.5300,60.4200
347.0000,46.6000,60.3800
348.0000,46.6600,60.2200
349.0000,46.7300,60.1800
350.0000,46.8300,60.2500
351.0000,46.9000,60.6800
352.0000,47.0000,60.8800
353.0000,47.0600,60.9800
354.0000,47.1300,60.8800
355.0000,47.2300,60.7800
356.0000,47.2900,60.8800
357.0000,47.3900,60.8500
358.0000,47.4600,60.7500
359.0000,47.5200,60.5800
360.0000,47.5900,60.5100
361.0000,47.6600,60.5100
362.0000,47.7200,60.5500
363.0000,47.7900,60.5500
364.0000,47.8900,60.5100
365.0000,47.9500,60.3200
366.0000,48.0200,60.2500
367.0000,48.0900,60.2500
368.0000,48.1500,60.4200
369.0000,48.2200,60.6500
370.0000,48.2800,60.5500
371.0000,48.3500,60.4200
372.0000,48.4200,60.4200
373.0000,48.4800,60.4500
374.0000,48.5500,60.3800
375.0000,48.6100,60.3800
376.0000,48.6800,60.3800
377.0000,48.7500,60.2800
378.0000,48.8100,60.2500
379.0000,48.8800,60.2800
380.0000,48.9400,60.1800
381.0000,49.0100,60.0800
382.0000,49.0800,60.1500
383.0000,49.1400,60.0800
384.0000,49.2100,60.0500
385.0000,49.2400,60.1200
386.0000,49.3400,60.2200
387.0000,49.3700,60.3200
388.0000,49.4400,60.4200
389.0000,49.5100,60.5500
390.0000,49.5700,60.6800
391.0000,49.6400,60.7100
392.0000,49.7000,60.7100
393.0000,49.7700,60.6800
394.0000,49.8400,60.6100
395.0000,49.8700,60.5100
396.0000,49.9400,60.5100
397.0000,50.0000,60.5100
398.0000,50.0400,60.5500
399.0000,50.1000,60.5800
400.0000,50.1700,60.6800
401.0000,50.2300,60.7100
402.0000,50.3000,60.7100
403.0000,50.3300,60.7500
404.0000,50.4000,60.6800
405.0000,50.4600,60.5500
406.0000,50.5000,60.4500
407.0000,50.5600,60.4500
408.0000,50.6300,60.4200
409.0000,50.6600,60.4500
410.0000,50.7300,60.4200
411.0000,50.7600,60.2500
412.0000,50.7900,60.1500
413.0000,50.8600,60.1200
414.0000,50.8900,60.1800
415.0000,50.9600,60.2200
416.0000,50.9900,60.2800
417.0000,51.0600,60.3800
418.0000,51.0900,60.4800
419.0000,51.1600,60.5800
420.0000,51.1900,60.6500
421.0000,51.2200,60.5800
422.0000,51.2900,60.5500
423.0000,51.3200,60.4800
424.0000,51.3600,60.3500
425.0000,51.4200,60.2200
426.0000,51.4600,60.1500
427.0000,51.4900,60.2200
428.0000,51.5500,60.2800
429.0000,51.5900,60.3500
430.0000,51.6500,60.3800
431.0000,51.6900,60.4200
432.0000,51.7200,60.4500
433.0000,51.7500,60.5100
434.0000,51.7900,60.5100
435.0000,51.8500,60.4800
436.0000,51.8900,60.4800
437.0000,51.9500,60.4800
438.0000,51.9800,60.4500
439.0000,52.0200,60.4200
440.0000,52.0500,60.4200
441.0000,52.0800,60.4500
442.0000,52.1200,60.4200
443.0000,52.1500,60.4500
444.0000,52.2500,60.5500
445.0000,52.3100,60.5800
446.0000,52.3100,60.5500
447.0000,52.3500,60.4800
448.0000,52.3800,60.4800
449.0000,52.4100,60.3800
450.0000,52.4500,60.3500
451.0000,52.4800,60.3200
452.0000,52.5100,60.3500
453.0000,52.5500,60.3200
454.0000,52.5800,60.0800
455.0000,52.6100,59.8900
456.0000,52.6800,59.8500
457.0000,52.8400,60.0800
458.0000,52.7800,60.0200
459.0000,52.6800,59.7500
460.0000,52.7800,59.8500
461.0000,52.8400,59.8500
462.0000,52.8800,59.9200
463.0000,52.9100,59.9200
464.0000,52.9400,59.8900
465.0000,52.9800,59.8900
466.0000,53.0100,59.8900
467.0000,53.0400,59.9200
468.0000,53.0700,59.8500
469.0000,53.1100,59.8200
470.0000,53.1400,59.7900
471.0000,53.1700,59.8200
472.0000,53.2100,59.8200
473.0000,53.2400,59.8900
474.0000,53.2700,59.9200
475.0000,53.3100,59.9200
476.0000,53.3400,59.9800
477.0000,53.3700,59.9800
478.0000,53.4100,60.0500
479.0000,53.4400,60.1800
480.0000,53.4700,60.1800
481.0000,53.5000,60.1500
482.0000,53.5400,60.1500
483.0000,53.5700,60.1200
484.0000,53.6000,60.0800
485.0000,53.6400,59.9800
486.0000,53.6700,59.8200
487.0000,53.7000,59.8500
488.0000,53.7400,59.9200
489.0000,53.7700,59.9500
490.0000,53.8000,59.9800
491.0000,53.8000,59.9500
492.0000,53.8300,59.9800
493.0000,53.8700,59.9800
494.0000,53.9000,59.9800
495.0000,53.9300,59.9500
496.0000,53.9700,60.0200
497.0000,54.0000,60.0800
498.0000,54.0000,60.0200
499.0000,54.0300,60.0500
500.0000,54.0700,60.1200

